Date;Period;jAuditRate;jTaxRate;jPeriod;jSubject;jSujeto;jGroup;jGrupo;jProfit;jnCorrectRET;jProfitRET;jDeclared;jDeduction;jTotalDeduction;jCheat;jType;jAudited;jFine;jDeductionsGroup;jReceivedFromGroup;jTaxRateProposed;jnCorrectSum;jGroupDG;jProfitDG;jProposerDG;jOfferDG;jage_subject;jgender;jTrust;jIdeology;jIncome;jPublicTransport;jTaxes;jDrivingFast;jMoneyFound;jLying;jAccidentalDamage;jLitter;jDrivingAlcohol;jJobApplication;jBuyingStolen;jProfitRiskAv;jdec1;jdec2;jdec3;jdec4;jdec5;jdec6;jdec7;jdec8;jdec9;jdec10;jHLJump;jSafeChoices;jedec1;jedec2;jedec3;jedec4;jedec5;jeHLJump;jequizWrong
151217_0935;3;0;10;3;15;-1;1;-1;640.125;4;600;600;60;60;0;-1;0;0;400.5;100.125;-1;4;7;200;0;200;44;0;0;5;88;1;1;1;1;1;1;1;1;1;1;1300;0;0;1;0;1;0;0;0;1;1;3;6;0;0;1;0;0;3;2
151217_0935;3;0;10;3;16;-1;6;-1;850;6;900;900;90;90;0;-1;0;0;160;40;-1;6;8;400;0;300;46;1;1;6;13;1;1;1;2;1;1;1;1;1;1;1000;1;0;1;0;0;0;0;0;0;0;1;8;0;0;0;1;1;4;3
151217_0935;3;0;10;3;17;-1;2;-1;984.55;7;1050;945;94.5;94.5;1;-1;0;0;116.2;29.05;-1;7;3;400;0;500;50;1;0;5;16;1;1;1;1;1;1;1;1;1;1;1600;0;0;0;0;0;1;1;1;1;1;6;5;0;0;0;1;1;4;0
151217_0935;3;0;10;3;18;-1;6;-1;490;3;450;0;0;0;1;-1;0;0;160;40;-1;3;12;500;1;500;34;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1500;1;1;1;0;0;1;1;1;0;0;1;4;0;1;0;1;0;2;2
151217_0935;3;0;10;3;19;-1;4;-1;620;4;600;600;60;60;0;-1;0;0;320;80;-1;4;2;500;0;500;52;1;1;4;15;1;1;1;3;1;1;1;1;3;1;2100;1;1;1;0;1;0;1;1;1;0;1;3;0;1;1;1;1;2;0
151217_0935;3;0;10;3;20;-1;4;-1;930;6;900;500;50;50;1;-1;0;0;320;80;-1;6;11;500;0;500;42;1;0;8;88;1;1;3;3;1;1;1;1;1;1;1100;0;0;0;0;0;0;0;0;0;0;99;10;0;0;0;0;0;99;2
151217_0935;3;0;10;3;21;-1;1;-1;1.054.625;7;1050;955;95.5;95.5;1;-1;0;0;400.5;100.125;-1;7;10;500;0;500;52;0;0;4;15;2;1;1;3;1;2;1;1;2;1;2300;0;1;1;1;0;1;0;0;0;0;2;6;1;1;1;1;1;1;1
151217_0935;3;0;10;3;22;-1;3;-1;1061.75;7;1050;550;55;55;1;-1;0;0;267;66.75;-1;7;10;500;1;500;49;0;0;5;16;3;3;3;3;2;3;1;1;3;1;1300;0;0;0;1;1;1;1;1;1;1;4;3;0;0;0;0;0;99;1
151217_0935;3;0;10;3;23;-1;3;-1;814.75;5;750;20;2;2;1;-1;0;0;267;66.75;-1;5;1;700;1;300;56;0;0;5;13;4;1;1;1;1;1;1;1;1;1;1400;0;1;1;1;0;0;0;1;0;1;2;5;0;0;1;1;1;3;2
151217_0935;3;0;10;3;24;-1;3;-1;1011.75;7;1050;1050;105;105;0;-1;0;0;267;66.75;-1;7;9;750;1;250;36;0;0;4;16;1;1;2;2;1;1;1;1;1;1;1500;0;0;0;0;1;1;1;1;1;1;5;4;0;0;0;0;0;99;0
